"","Title","cluster"
"1509","Getting Even with Dad (1994)",4
"1510","Mad Dog Time (1996)",2
"1511","Children of the Revolution (1996)",4
"1512","World of Apu, The (Apur Sansar) (1959)",3
"1513","Sprung (1997)",4
"1514","Dream With the Fishes (1997)",3
"1515","Wings of Courage (1995)",2
"1516","Wedding Gift, The (1994)",3
"1517","Race the Sun (1996)",3
"1518","Losing Isaiah (1995)",3
"1519","New Jersey Drive (1995)",2
"1520","Fear, The (1995)",1
"1521","Mr. Wonderful (1993)",5
"1522","Trial by Jury (1994)",2
"1523","Good Man in Africa, A (1994)",2
"1524","Kaspar Hauser (1993)",3
"1525","Object of My Affection, The (1998)",5
"1526","Witness (1985)",5
"1527","Senseless (1998)",4
"1528","Nowhere (1997)",3
"1529","Underground (1995)",1
"1530","Jefferson in Paris (1995)",3
"1531","Far From Home: The Adventures of Yellow Dog (1995)",1
"1532","Foreign Student (1994)",3
"1533","I Don't Want to Talk About It (De eso no se habla) (1993)",3
"1534","Twin Town (1997)",1
"1535","Enfer, L' (1994)",3
"1536","Aiqing wansui (1994)",3
"1537","Cosi (1996)",4
"1538","All Over Me (1997)",3
"1539","Being Human (1993)",3
"1540","Amazing Panda Adventure, The (1995)",1
"1541","Beans of Egypt, Maine, The (1994)",3
"1542","Scarlet Letter, The (1926)",3
"1543","Johns (1996)",3
"1544","It Takes Two (1995)",4
"1545","Frankie Starlight (1995)",5
"1546","Shadows (Cienie) (1988)",3
"1547","Show, The (1995)",1
"1548","The Courtyard (1995)",2
"1549","Dream Man (1995)",2
"1550","Destiny Turns on the Radio (1995)",4
"1551","Glass Shield, The (1994)",3
"1552","Hunted, The (1995)",2
"1553","Underneath, The (1995)",2
"1554","Safe Passage (1994)",3
"1555","Secret Adventures of Tom Thumb, The (1993)",1
"1556","Condition Red (1995)",2
"1557","Yankee Zulu (1994)",6
"1558","Aparajito (1956)",3
"1559","Hostile Intentions (1994)",2
"1560","Clean Slate (Coup de Torchon) (1981)",2
"1561","Tigrero: A Film That Was Never Made (1994)",1
"1562","Eye of Vichy, The (Oeil de Vichy, L') (1993)",1
"1563","Promise, The (Versprechen, Das) (1994)",5
"1564","To Cross the Rubicon (1991)",3
"1565","Daens (1992)",3
"1566","Man from Down Under, The (1943)",3
"1567","Careful (1992)",4
"1568","Vermont Is For Lovers (1992)",5
"1569","Vie est belle, La (Life is Rosey) (1987)",6
"1570","Quartier Mozart (1992)",4
"1571","Touki Bouki (Journey of the Hyena) (1973)",3
"1572","Wend Kuuni (God's Gift) (1982)",3
"1573","Spirits of the Dead (Tre passi nel delirio) (1968)",1
"1574","Pharaoh's Army (1995)",1
"1575","I, Worst of All (Yo, la peor de todas) (1990)",3
"1576","Hungarian Fairy Tale, A (1987)",1
"1577","Death in the Garden (Mort en ce jardin, La) (1956)",3
"1578","Collectionneuse, La (1967)",3
"1579","Baton Rouge (1988)",2
"1580","Liebelei (1933)",5
"1581","Woman in Question, The (1950)",2
"1582","T-Men (1947)",2
"1583","Invitation, The (Zaproszenie) (1986)",3
"1584","Symphonie pastorale, La (1946)",3
"1585","American Dream (1990)",1
"1586","Lashou shentan (1992)",2
"1587","Terror in a Texas Town (1958)",1
"1588","Salut cousin! (1996)",6
"1589","Schizopolis (1996)",4
"1590","To Have, or Not (1995)",3
"1591","Duoluo tianshi (1995)",3
"1592","Magic Hour, The (1998)",3
"1593","Death in Brunswick (1991)",4
"1594","Everest (1998)",1
"1595","Shopping (1994)",2
"1596","Nemesis 2: Nebula (1995)",2
"1597","Romper Stomper (1992)",2
"1598","City of Industry (1997)",2
"1599","Someone Else's America (1995)",3
"1600","Guantanamera (1994)",4
"1601","Office Killer (1997)",2
"1602","Price Above Rubies, A (1998)",3
"1603","Angela (1995)",3
"1604","He Walked by Night (1948)",2
"1605","Love Serenade (1996)",4
"1606","Deceiver (1997)",2
"1607","Hurricane Streets (1998)",3
"1608","Buddy (1997)",1
"1609","B*A*P*S (1997)",4
"1610","Truth or Consequences, N.M. (1997)",5
"1611","Intimate Relations (1996)",4
"1612","Leading Man, The (1996)",5
"1613","Tokyo Fist (1995)",2
"1614","Reluctant Debutante, The (1958)",6
"1615","Warriors of Virtue (1997)",1
"1616","Desert Winds (1995)",3
"1617","Hugo Pool (1997)",5
"1618","King of New York (1990)",2
"1619","All Things Fair (1996)",3
"1620","Sixth Man, The (1997)",4
"1621","Butterfly Kiss (1995)",2
"1622","Paris, France (1993)",4
"1623","Cérémonie, La (1995)",3
"1624","Hush (1998)",2
"1625","Nightwatch (1997)",2
"1626","Nobody Loves Me (Keiner liebt mich) (1994)",6
"1627","Wife, The (1995)",6
"1628","Lamerica (1994)",3
"1629","Nico Icon (1995)",1
"1630","Silence of the Palace, The (Saimt el Qusur) (1994)",3
"1631","Slingshot, The (1993)",6
"1632","Land and Freedom (Tierra y libertad) (1995)",1
"1633","Á köldum klaka (Cold Fever) (1994)",6
"1634","Etz Hadomim Tafus (Under the Domin Tree) (1994)",3
"1635","Two Friends (1986) ",3
"1636","Brothers in Trouble (1995)",3
"1637","Girls Town (1996)",3
"1638","Normal Life (1996)",2
"1639","Bitter Sugar (Azucar Amargo) (1996)",3
"1640","Eighth Day, The (1996)",3
"1641","Dadetown (1995)",1
"1642","Some Mother's Son (1996)",3
"1643","Angel Baby (1995)",3
"1644","Sudden Manhattan (1996)",4
"1645","Butcher Boy, The (1998)",3
"1646","Men With Guns (1997)",2
"1647","Hana-bi (1997)",1
"1648","Niagara, Niagara (1997)",3
"1649","Big One, The (1997)",1
"1650","Butcher Boy, The (1998)",3
"1651","Spanish Prisoner, The (1997)",2
"1652","Temptress Moon (Feng Yue) (1996)",5
"1653","Entertaining Angels: The Dorothy Day Story (1996)",3
"1654","Chairman of the Board (1998)",4
"1655","Favor, The (1994)",5
"1656","Little City (1998)",5
"1657","Target (1995)",2
"1658","Substance of Fire, The (1996)",3
"1659","Getting Away With Murder (1996)",4
"1660","Small Faces (1995)",3
"1661","New Age, The (1994)",3
"1662","Rough Magic (1995)",5
"1663","Nothing Personal (1995)",1
"1664","8 Heads in a Duffel Bag (1997)",4
"1665","Brother's Kiss, A (1997)",3
"1666","Ripe (1996)",3
"1667","Next Step, The (1995)",3
"1668","Wedding Bell Blues (1996)",4
"1669","MURDER and murder (1996)",2
"1670","Tainted (1998)",1
"1671","Further Gesture, A (1996)",3
"1672","Kika (1993)",3
"1673","Mirage (1995)",2
"1674","Mamma Roma (1962)",3
"1675","Sunchaser, The (1996)",3
"1676","War at Home, The (1996)",3
"1677","Sweet Nothing (1995)",3
"1678","Mat' i syn (1997)",3
"1679","B. Monkey (1998)",5
"1680","Sliding Doors (1998)",5
"1681","You So Crazy (1994)",4
"1682","Scream of Stone (Schrei aus Stein) (1991)",3
